Pipeline Type,Cause Category,Unintentional Release (Barrels)
UNDERGROUND,OTHER OUTSIDE FORCE DAMAGE,66
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.24
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,5.6
ABOVEGROUND,NATURAL FORCE DAMAGE,0.02
ABOVEGROUND,ALL OTHER CAUSES,4
ABOVEGROUND,INCORRECT OPERATION,0.36
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,9
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1.2
ABOVEGROUND,CORROSION,0.12
TANK,NATURAL FORCE DAMAGE,1000
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,88.1
ABOVEGROUND,NATURAL FORCE DAMAGE,47
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.24
TANK,CORROSION,38
ABOVEGROUND,OTHER OUTSIDE FORCE DAMAGE,288.5
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0
TANK,MATERIAL/WELD/EQUIP FAILURE,40
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.5
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,2530
UNDERGROUND,CORROSION,40
UNDERGROUND,INCORRECT OPERATION,4
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,3.99
ABOVEGROUND,CORROSION,78
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,2.4
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,400
TANK,MATERIAL/WELD/EQUIP FAILURE,0.4
TRANSITION AREA,CORROSION,7.14
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.24
UNDERGROUND,CORROSION,50
UNDERGROUND,NATURAL FORCE DAMAGE,0.24
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.16
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.74
ABOVEGROUND,INCORRECT OPERATION,1
ABOVEGROUND,INCORRECT OPERATION,0.95
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,600
ABOVEGROUND,NATURAL FORCE DAMAGE,0.6
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,3
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,4
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.19
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,482
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,8.36
ABOVEGROUND,INCORRECT OPERATION,0.24
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.12
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,20
ABOVEGROUND,INCORRECT OPERATION,25
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.53
TRANSITION AREA,INCORRECT OPERATION,0.45
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,2
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,80
UNDERGROUND,INCORRECT OPERATION,100
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.95
UNDERGROUND,CORROSION,600
ABOVEGROUND,INCORRECT OPERATION,23
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.24
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,1
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,15
ABOVEGROUND,INCORRECT OPERATION,2
ABOVEGROUND,INCORRECT OPERATION,1
ABOVEGROUND,CORROSION,300
ABOVEGROUND,INCORRECT OPERATION,4
ABOVEGROUND,ALL OTHER CAUSES,12
ABOVEGROUND,ALL OTHER CAUSES,40
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.5
TRANSITION AREA,MATERIAL/WELD/EQUIP FAILURE,0.29
TANK,MATERIAL/WELD/EQUIP FAILURE,10
TANK,MATERIAL/WELD/EQUIP FAILURE,4.5
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.55
