Operator Name,Liquid Recovery (Barrels),Net Loss (Barrels)
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0,100
ONEOK NGL PIPELINE LP,0,2.6
ONEOK NGL PIPELINE LP,0,0.74
CHEVRON PIPE LINE CO,2,0
SEADRIFT PIPELINE CORP,0,1967
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0.27,0
"MAGELLAN TERMINALS HOLDINGS, LP",0.23,0
"KINDER MORGAN LIQUID TERMINALS, LLC",1.19,0
SUNOCO PIPELINE L.P.,0,1.5
CENTRAL FLORIDA PIPELINE CORP,176,627
"MAGELLAN PIPELINE COMPANY, LP",35,0
"PLAINS PIPELINE, L.P.",123,0
MID - VALLEY PIPELINE CO,0.52,0
