Accident Year,Accident State,Unintentional Release (Barrels)
2013,TX,0.76
2013,TX,1.75
2013,TX,0.48
2013,TX,8
2013,TX,0.24
2013,TX,400
2013,TX,0.5
2013,TX,1.2
2013,TX,10
2013,TX,1
2013,TX,1
2013,TX,4357
2013,TX,160
2013,TX,0.22
2013,TX,0.24
2013,TX,0.18
2013,TX,0.71
2013,TX,20
2013,TX,0.24
2013,TX,3
2013,TX,716
2014,TX,2.9
2014,TX,0.5
2014,TX,15
2014,TX,0.6
2014,TX,60
2014,TX,0.5
2014,TX,400
2014,TX,0.5
2014,TX,0.25
2014,TX,2
2014,TX,475
2014,TX,0.48
2014,TX,0.02
2014,TX,20
2014,TX,5
2014,TX,10
2014,TX,3.5
2014,TX,0.48
2014,TX,4
2014,TX,12
2014,TX,0.54
2014,TX,15
2014,TX,20
2014,TX,3
2014,TX,0.6
2014,TX,364
2014,TX,0.24
2014,TX,0.75
2014,TX,1.55
2014,TX,4
2014,TX,0.5
2014,TX,3992
2014,TX,0.44
2014,TX,650
2014,TX,1
2014,TX,4.5
2014,TX,20
2014,TX,0.24
2014,TX,0.71
2014,TX,1.12
2014,TX,3
2014,TX,49
2014,TX,4.5
2014,TX,173
2014,TX,1
2014,TX,0.01
2014,TX,3
2014,TX,3
2014,TX,100
2014,TX,12
2014,TX,0.5
2014,TX,0.36
2014,TX,0.2
2014,TX,4.5
2014,TX,0.54
2014,TX,7
2014,TX,400
2014,TX,4
2014,TX,2066
2014,TX,0.01
2014,TX,0.2
2014,TX,1.5
2014,TX,3
2014,TX,10
2014,TX,744.05
2014,TX,0.2
2014,TX,2
2014,TX,250
2014,TX,1
2014,TX,890
2014,TX,150
2014,TX,1
2014,TX,25
2014,TX,473
2014,TX,0.35
2014,TX,67.82
2014,TX,1
2014,TX,10
2014,TX,0.06
2014,TX,3
2014,TX,0.12
2014,TX,800
2014,TX,0.7
2014,TX,1
2014,TX,14
2014,TX,0.71
2014,TX,0.2
2014,TX,0.28
2014,TX,4
2014,TX,1.1
2014,TX,6
2014,TX,0.36
2014,TX,0.71
2014,TX,0.2
2014,TX,0.93
2014,TX,0.1
2014,TX,2
2014,TX,0.02
2014,TX,2
2014,TX,1.9
2014,TX,5
2014,TX,17.1
2014,TX,0.2
2014,TX,0.95
2014,TX,1.2
2014,TX,1
2014,TX,15
2014,TX,1
2014,TX,128
2014,TX,10
2014,TX,1
2014,TX,6.5
2014,TX,2.38
2014,TX,34.6
2014,TX,0.44
2014,TX,0.1
2014,TX,3
2014,TX,0.48
2014,TX,2
2014,TX,15
2014,TX,4
2014,TX,0.25
2014,TX,0.17
2014,TX,90
